$GNRMC,072408.60,A,3600.77859,N,12919.12755,E,0.223,208.46,010620,,,A,V*0C
$GNRMC,072408.70,A,3600.77864,N,12919.12765,E,0.151,,010620,,,A,V*10
$GNGGA,072508.90,3600.78456,N,12919.14152,E,5,12,0.54,62.6,M,24.3,M,0.9,0000*59
$GNGGA,072509.00,3600.78452,N,12919.14145,E,5,12,0.54,62.6,M,24.3,M,1.0,0000*5B
$GNGGA,072509.10,3600.78447,N,12919.14137,E,5,12,0.54,62.6,M,24.3,M,1.1,0000*5A
$GNGGA,072509.20,3600.78441,N,12919.14130,E,5,12,0.54,62.6,M,24.3,M,0.2,0000*5A
$GNGGA,072509.30,3600.78436,N,12919.14122,E,5,12,0.54,62.6,M,24.3,M,0.3,0000*59
$GNGGA,072509.40,3600.78430,N,12919.14114,E,5,12,0.54,62.6,M,24.3,M,0.4,0000*5A
$GNGGA,072509.50,3600.78424,N,12919.14106,E,5,12,0.54,62.6,M,24.3,M,0.5,0000*5C
$GNGGA,072509.60,3600.78418,N,12919.14098,E,5,12,0.54,62.6,M,24.3,M,0.6,0000*55
$GNGGA,072509.70,3600.78411,N,12919.14090,E,5,12,0.54,62.6,M,24.3,M,0.7,0000*54
$GNGGA,072509.80,3600.78405,N,12919.14082,E,5,12,0.54,62.7,M,24.3,M,0.8,0000*53
$GNGGA,072509.90,3600.78400,N,12919.14075,E,5,12,0.54,62.7,M,24.3,M,0.9,0000*5E
$GNGGA,072510.00,3600.78394,N,12919.14067,E,5,12,0.54,62.7,M,24.3,M,1.0,0000*5E
$GNGGA,072510.10,3600.78389,N,12919.14059,E,5,12,0.54,62.7,M,24.3,M,1.1,0000*5F
$GNGGA,072510.20,3600.78384,N,12919.14051,E,5,12,0.54,62.7,M,24.3,M,1.2,0000*5A
$GNGGA,072510.30,3600.78378,N,12919.14046,E,5,12,0.54,62.7,M,24.3,M,1.3,0000*5F
$GNGGA,072510.40,3600.78374,N,12919.14043,E,5,12,0.54,62.7,M,24.3,M,0.4,0000*57
$GNGGA,072510.50,3600.78368,N,12919.14042,E,5,12,0.54,62.7,M,24.3,M,0.5,0000*5B
$GNGGA,072510.60,3600.78363,N,12919.14043,E,5,12,0.54,62.7,M,24.3,M,0.6,0000*51
$GNGGA,072510.70,3600.78358,N,12919.14046,E,5,12,0.54,62.7,M,24.3,M,0.7,0000*5C
$GNGGA,072510.80,3600.78353,N,12919.14050,E,5,12,0.54,62.8,M,24.3,M,0.8,0000*5F
$GNGGA,072510.90,3600.78347,N,12919.14055,E,5,12,0.54,62.8,M,24.3,M,0.9,0000*5F
$GNGGA,072511.00,3600.78342,N,12919.14061,E,5,12,0.54,62.8,M,24.3,M,1.0,0000*5D
$GNGGA,072511.10,3600.78337,N,12919.14067,E,5,12,0.54,62.8,M,24.3,M,1.1,0000*59
$GNGGA,072511.20,3600.78331,N,12919.14074,E,5,12,0.54,62.8,M,24.3,M,1.2,0000*5D
$GNGGA,072511.30,3600.78325,N,12919.14080,E,5,12,0.54,62.7,M,24.3,M,1.3,0000*5C
$GNGGA,072511.40,3600.78319,N,12919.14086,E,5,12,0.54,62.7,M,24.3,M,0.4,0000*54
$GNGGA,072511.50,3600.78312,N,12919.14092,E,5,12,0.54,62.7,M,24.3,M,0.5,0000*5A
$GNGGA,072511.60,3600.78305,N,12919.14099,E,5,12,0.54,62.8,M,24.3,M,0.6,0000*58
$GNGGA,072511.70,3600.78298,N,12919.14105,E,5,12,0.54,62.8,M,24.3,M,0.7,0000*59
$GNGGA,072511.80,3600.78292,N,12919.14111,E,5,12,0.54,62.8,M,24.3,M,0.8,0000*56
$GNGGA,072511.90,3600.78286,N,12919.14118,E,5,12,0.54,62.8,M,24.3,M,0.9,0000*5A
$GNGGA,072512.00,3600.78280,N,12919.14123,E,5,12,0.54,62.8,M,24.3,M,1.0,0000*56
$GNGGA,072512.10,3600.78274,N,12919.14128,E,5,12,0.54,62.8,M,24.3,M,1.1,0000*56
$GNGGA,072512.20,3600.78268,N,12919.14133,E,5,12,0.54,62.8,M,24.3,M,1.2,0000*51
$GNGGA,072512.30,3600.78262,N,12919.14138,E,5,12,0.54,62.8,M,24.3,M,0.3,0000*51
$GNGGA,072512.40,3600.78255,N,12919.14142,E,5,12,0.54,62.8,M,24.3,M,0.4,0000*58
$GNGGA,072512.50,3600.78249,N,12919.14146,E,5,12,0.54,62.8,M,24.3,M,0.5,0000*51
$GNGGA,072512.60,3600.78242,N,12919.14151,E,5,12,0.54,62.9,M,24.3,M,0.6,0000*5D
$GNGGA,072512.70,3600.78235,N,12919.14156,E,5,12,0.54,62.9,M,24.3,M,0.7,0000*5A
$GNGGA,072512.80,3600.78229,N,12919.14161,E,5,12,0.54,62.9,M,24.3,M,0.8,0000*53
$GNGGA,072512.90,3600.78222,N,12919.14165,E,5,12,0.54,62.9,M,24.3,M,0.9,0000*5C
$GNGGA,072513.00,3600.78216,N,12919.14169,E,5,12,0.54,62.9,M,24.3,M,1.0,0000*57
$GNGGA,072513.10,3600.78210,N,12919.14171,E,5,12,0.54,62.9,M,24.3,M,1.1,0000*58
$GNGGA,072513.20,3600.78204,N,12919.14174,E,5,12,0.54,62.9,M,24.3,M,1.2,0000*58
$GNGGA,072513.30,3600.78199,N,12919.14176,E,5,12,0.54,62.9,M,24.3,M,0.3,0000*5C
$GNGGA,072513.40,3600.78194,N,12919.14177,E,5,12,0.54,62.9,M,24.3,M,0.4,0000*50
$GNGGA,072513.50,3600.78189,N,12919.14178,E,5,12,0.54,62.9,M,24.3,M,0.5,0000*53
$GNGGA,072513.60,3600.78185,N,12919.14179,E,5,12,0.54,62.9,M,24.3,M,0.6,0000*5E
$GNGGA,072513.70,3600.78181,N,12919.14180,E,5,12,0.54,63.0,M,24.3,M,0.7,0000*54
$GNGGA,072513.80,3600.78178,N,12919.14181,E,5,12,0.54,63.0,M,24.3,M,0.8,0000*53
$GNGGA,072513.90,3600.78175,N,12919.14182,E,5,12,0.54,63.0,M,24.3,M,0.9,0000*5D
$GNGGA,072514.00,3600.78173,N,12919.14182,E,5,12,0.54,63.0,M,24.3,M,1.0,0000*5D
$GNGGA,072514.10,3600.78171,N,12919.14181,E,5,12,0.54,63.0,M,24.3,M,1.1,0000*5C
$GNGGA,072514.20,3600.78170,N,12919.14180,E,5,12,0.54,63.0,M,24.3,M,1.2,0000*5C
$GNGGA,072514.30,3600.78169,N,12919.14178,E,5,12,0.54,63.0,M,24.3,M,0.3,0000*52
$GNGGA,072514.40,3600.78169,N,12919.14178,E,5,12,0.54,63.0,M,24.3,M,0.4,0000*52
$GNGGA,072514.50,3600.78169,N,12919.14177,E,5,12,0.54,63.0,M,24.3,M,0.5,0000*5D
$GNGGA,072514.60,3600.78169,N,12919.14177,E,5,12,0.54,63.0,M,24.3,M,0.6,0000*5D
$GNGGA,072514.70,3600.78170,N,12919.14176,E,5,12,0.54,63.0,M,24.3,M,0.7,0000*54
$GNGGA,072514.80,3600.78171,N,12919.14174,E,5,12,0.54,63.0,M,24.3,M,0.8,0000*57
$GNGGA,072514.90,3600.78172,N,12919.14169,E,5,12,0.54,63.1,M,24.3,M,0.9,0000*59
$GNGGA,072515.00,3600.78174,N,12919.14164,E,5,12,0.54,63.1,M,24.3,M,1.0,0000*52
$GNGGA,072515.10,3600.78175,N,12919.14159,E,5,12,0.54,63.1,M,24.3,M,1.1,0000*5D
$GNGGA,072515.20,3600.78175,N,12919.14156,E,5,12,0.54,63.1,M,24.3,M,0.2,0000*53
$GNGGA,072515.30,3600.78175,N,12919.14155,E,5,12,0.54,63.1,M,24.3,M,0.3,0000*50
$GNGGA,072515.40,3600.78176,N,12919.14154,E,5,12,0.54,63.1,M,24.3,M,0.4,0000*52
$GNGGA,072515.50,3600.78176,N,12919.14155,E,5,12,0.54,63.1,M,24.3,M,0.5,0000*53
$GNGGA,072515.60,3600.78176,N,12919.14157,E,5,12,0.54,63.1,M,24.3,M,0.6,0000*51
$GNGGA,072515.70,3600.78176,N,12919.14158,E,5,12,0.54,63.1,M,24.3,M,0.7,0000*5E
$GNGGA,072515.80,3600.78175,N,12919.14160,E,5,12,0.54,63.1,M,24.3,M,0.8,0000*56
$GNGGA,072515.90,3600.78175,N,12919.14164,E,5,12,0.54,63.1,M,24.3,M,0.9,0000*52
$GNGGA,072516.00,3600.78176,N,12919.14168,E,5,12,0.54,63.1,M,24.3,M,1.0,0000*5F
$GNGGA,072516.10,3600.78176,N,12919.14171,E,5,12,0.54,63.2,M,24.3,M,1.1,0000*54
$GNGGA,072516.20,3600.78175,N,12919.14174,E,5,12,0.54,63.2,M,24.3,M,0.2,0000*53
$GNGGA,072516.30,3600.78175,N,12919.14176,E,5,12,0.57,63.2,M,24.3,M,0.3,0000*52
$GNGGA,072516.40,3600.78174,N,12919.14178,E,5,12,0.57,63.2,M,24.3,M,0.4,0000*5D
$GNGGA,072516.60,3600.78172,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.6,0000*5E
$GNGGA,072516.70,3600.78172,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.7,0000*5E
$GNGGA,072516.80,3600.78171,N,12919.14182,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*5E
$GNGGA,072516.90,3600.78171,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*5D
$GNGGA,072517.00,3600.78170,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*5C
$GNGGA,072517.10,3600.78170,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.1,0000*5D
$GNGGA,072517.20,3600.78170,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.2,0000*5D
$GNGGA,072517.30,3600.78170,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.3,0000*5D
$GNGGA,072517.40,3600.78170,N,12919.14181,E,5,12,0.54,63.2,M,24.3,M,0.4,0000*5D
$GNGGA,072517.50,3600.78169,N,12919.14180,E,5,12,0.54,63.2,M,24.3,M,0.5,0000*54
$GNGGA,072517.60,3600.78169,N,12919.14180,E,5,12,0.54,63.2,M,24.3,M,0.6,0000*54
$GNGGA,072517.70,3600.78169,N,12919.14180,E,5,12,0.54,63.2,M,24.3,M,0.7,0000*54
$GNGGA,072517.80,3600.78169,N,12919.14178,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*53
$GNGGA,072517.90,3600.78169,N,12919.14176,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*5D
$GNGGA,072518.00,3600.78170,N,12919.14174,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*59
$GNGGA,072518.10,3600.78170,N,12919.14170,E,5,12,0.54,63.2,M,24.3,M,1.1,0000*5D
$GNGGA,072518.20,3600.78171,N,12919.14165,E,5,12,0.54,63.2,M,24.3,M,1.2,0000*58
$GNGGA,072518.30,3600.78171,N,12919.14159,E,5,12,0.54,63.2,M,24.3,M,1.3,0000*57
$GNGGA,072518.40,3600.78172,N,12919.14152,E,5,12,0.54,63.2,M,24.3,M,0.4,0000*5E
$GNGGA,072518.50,3600.78172,N,12919.14145,E,5,12,0.54,63.2,M,24.3,M,0.5,0000*58
$GNGGA,072518.60,3600.78172,N,12919.14137,E,5,12,0.54,63.2,M,24.3,M,0.6,0000*5D
$GNGGA,072518.70,3600.78172,N,12919.14129,E,5,12,0.54,63.2,M,24.3,M,0.7,0000*52
$GNGGA,072518.80,3600.78172,N,12919.14119,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*51
$GNGGA,072518.90,3600.78172,N,12919.14110,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*58
$GNGGA,072519.00,3600.78171,N,12919.14102,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*58
$GNGGA,072519.10,3600.78171,N,12919.14093,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*50
$GNGGA,072519.20,3600.78170,N,12919.14083,E,5,12,0.54,63.2,M,24.3,M,1.2,0000*51
$GNGGA,072519.30,3600.78170,N,12919.14074,E,5,12,0.54,63.2,M,24.3,M,0.3,0000*58
$GNGGA,072519.40,3600.78169,N,12919.14064,E,5,12,0.54,63.2,M,24.3,M,0.4,0000*51
$GNGGA,072519.50,3600.78169,N,12919.14055,E,5,12,0.54,63.2,M,24.3,M,0.5,0000*53
$GNGGA,072519.60,3600.78168,N,12919.14045,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*52
$GNGGA,072519.70,3600.78168,N,12919.14035,E,5,12,0.54,63.2,M,24.3,M,0.7,0000*54
$GNGGA,072519.80,3600.78168,N,12919.14025,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*55
$GNGGA,072519.90,3600.78168,N,12919.14014,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*57
$GNGGA,072520.00,3600.78167,N,12919.14005,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*53
$GNGGA,072520.10,3600.78167,N,12919.13994,E,5,12,0.54,63.2,M,24.3,M,1.1,0000*55
$GNGGA,072520.20,3600.78167,N,12919.13984,E,5,12,0.54,63.2,M,24.3,M,1.2,0000*54
$GNGGA,072520.30,3600.78168,N,12919.13974,E,5,12,0.54,63.2,M,24.3,M,0.3,0000*55
$GNGGA,072520.40,3600.78167,N,12919.13963,E,5,12,0.54,63.2,M,24.3,M,0.4,0000*5C
$GNGGA,072520.50,3600.78167,N,12919.13952,E,5,12,0.54,63.2,M,24.3,M,0.5,0000*5E
$GNGGA,072520.60,3600.78167,N,12919.13942,E,5,12,0.54,63.2,M,24.3,M,0.6,0000*5F
$GNGGA,072520.70,3600.78166,N,12919.13930,E,5,12,0.54,63.2,M,24.3,M,0.7,0000*5B
$GNGGA,072520.80,3600.78165,N,12919.13921,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*58
$GNGGA,072520.90,3600.78164,N,12919.13911,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*5A
$GNGGA,072521.00,3600.78164,N,12919.13902,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*58
$GNGGA,072521.10,3600.78163,N,12919.13892,E,5,12,0.54,63.2,M,24.3,M,1.1,0000*57
$GNGGA,072521.20,3600.78163,N,12919.13883,E,5,12,0.54,63.2,M,24.3,M,1.2,0000*57
$GNGGA,072521.30,3600.78164,N,12919.13875,E,5,12,0.54,63.2,M,24.3,M,0.3,0000*58
$GNGGA,072521.40,3600.78164,N,12919.13866,E,5,12,0.54,63.2,M,24.3,M,0.4,0000*5A
$GNGGA,072521.50,3600.78164,N,12919.13857,E,5,12,0.54,63.2,M,24.3,M,0.5,0000*58
$GNGGA,072521.60,3600.78164,N,12919.13849,E,5,12,0.54,63.2,M,24.3,M,0.6,0000*57
$GNGGA,072521.70,3600.78164,N,12919.13840,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*5F
$GNGGA,072521.80,3600.78163,N,12919.13831,E,5,12,0.54,63.2,M,24.3,M,0.8,0000*5F
$GNGGA,072521.90,3600.78162,N,12919.13823,E,5,12,0.54,63.2,M,24.3,M,0.9,0000*5D
$GNGGA,072522.00,3600.78161,N,12919.13815,E,5,12,0.54,63.2,M,24.3,M,1.0,0000*59
$GNGGA,072522.10,3600.78160,N,12919.13807,E,5,12,0.54,63.2,M,24.3,M,1.1,0000*5B
$GNGGA,072522.20,3600.78159,N,12919.13800,E,5,12,0.54,63.3,M,24.3,M,1.2,0000*57
$GNGGA,072522.30,3600.78159,N,12919.13793,E,5,12,0.54,63.3,M,24.3,M,0.3,0000*53
$GNGGA,072522.40,3600.78159,N,12919.13787,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*56
$GNGGA,072522.50,3600.78158,N,12919.13781,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*51
$GNGGA,072522.60,3600.78158,N,12919.13776,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*59
$GNGGA,072522.70,3600.78158,N,12919.13770,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*5F
$GNGGA,072522.80,3600.78157,N,12919.13765,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*54
$GNGGA,072522.90,3600.78156,N,12919.13761,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*51
$GNGGA,072523.00,3600.78156,N,12919.13759,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*5A
$GNGGA,072523.10,3600.78156,N,12919.13758,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*5B
$GNGGA,072523.20,3600.78156,N,12919.13756,E,5,12,0.54,63.3,M,24.3,M,0.2,0000*54
$GNGGA,072523.30,3600.78156,N,12919.13754,E,5,12,0.54,63.3,M,24.3,M,0.3,0000*56
$GNGGA,072523.40,3600.78156,N,12919.13753,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*51
$GNGGA,072523.50,3600.78155,N,12919.13753,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*52
$GNGGA,072523.60,3600.78155,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*53
$GNGGA,072523.70,3600.78154,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*52
$GNGGA,072523.80,3600.78154,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*52
$GNGGA,072523.90,3600.78153,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*55
$GNGGA,072524.00,3600.78152,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*52
$GNGGA,072524.10,3600.78151,N,12919.13752,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*51
$GNGGA,072524.20,3600.78151,N,12919.13751,E,5,12,0.54,63.3,M,24.3,M,0.2,0000*53
$GNGGA,072524.30,3600.78150,N,12919.13751,E,5,12,0.54,63.3,M,24.3,M,0.3,0000*52
$GNGGA,072524.40,3600.78149,N,12919.13750,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*5B
$GNGGA,072524.50,3600.78148,N,12919.13750,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*5A
$GNGGA,072524.60,3600.78146,N,12919.13750,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*54
$GNGGA,072524.70,3600.78143,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*59
$GNGGA,072524.80,3600.78139,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*54
$GNGGA,072524.90,3600.78134,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*59
$GNGGA,072525.00,3600.78128,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*54
$GNGGA,072525.10,3600.78122,N,12919.13750,E,5,12,0.54,63.3,M,24.3,M,0.1,0000*57
$GNGGA,072525.20,3600.78116,N,12919.13750,E,5,12,0.54,63.3,M,24.3,M,0.2,0000*50
$GNGGA,072525.30,3600.78110,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,0.3,0000*5E
$GNGGA,072525.40,3600.78104,N,12919.13749,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*5B
$GNGGA,072525.50,3600.78097,N,12919.13747,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*5E
$GNGGA,072525.60,3600.78090,N,12919.13746,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*58
$GNGGA,072525.70,3600.78083,N,12919.13745,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*59
$GNGGA,072525.80,3600.78075,N,12919.13744,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*51
$GNGGA,072525.90,3600.78068,N,12919.13742,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*5B
$GNGGA,072526.00,3600.78060,N,12919.13741,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*52
$GNGGA,072526.10,3600.78052,N,12919.13741,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*53
$GNGGA,072526.20,3600.78044,N,12919.13741,E,5,12,0.54,63.3,M,24.3,M,1.2,0000*54
$GNGGA,072526.30,3600.78037,N,12919.13741,E,5,12,0.54,63.3,M,24.3,M,1.3,0000*50
$GNGGA,072526.40,3600.78030,N,12919.13739,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*59
$GNGGA,072526.50,3600.78022,N,12919.13738,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*5B
$GNGGA,072526.60,3600.78015,N,12919.13736,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*51
$GNGGA,072526.70,3600.78007,N,12919.13732,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*56
$GNGGA,072526.80,3600.78000,N,12919.13730,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*53
$GNGGA,072526.90,3600.77993,N,12919.13728,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*56
$GNGGA,072527.00,3600.77986,N,12919.13726,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*5C
$GNGGA,072527.10,3600.77978,N,12919.13725,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*5E
$GNGGA,072527.20,3600.77970,N,12919.13724,E,5,12,0.54,63.3,M,24.3,M,1.2,0000*57
$GNGGA,072527.30,3600.77962,N,12919.13723,E,5,12,0.54,63.3,M,24.3,M,0.3,0000*52
$GNGGA,072527.40,3600.77955,N,12919.13721,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*54
$GNGGA,072527.50,3600.77948,N,12919.13719,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*53
$GNGGA,072527.60,3600.77941,N,12919.13717,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*54
$GNGGA,072527.70,3600.77934,N,12919.13714,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*55
$GNGGA,072527.80,3600.77927,N,12919.13712,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*51
$GNGGA,072527.90,3600.77919,N,12919.13710,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*5E
$GNGGA,072528.00,3600.77912,N,12919.13707,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*5D
$GNGGA,072528.10,3600.77904,N,12919.13705,E,5,12,0.54,63.3,M,24.3,M,1.1,0000*58
$GNGGA,072528.20,3600.77897,N,12919.13704,E,5,12,0.54,63.3,M,24.3,M,1.2,0000*52
$GNGGA,072528.30,3600.77891,N,12919.13703,E,5,12,0.54,63.3,M,24.3,M,1.3,0000*53
$GNGGA,072528.40,3600.77884,N,12919.13701,E,5,12,0.54,63.3,M,24.3,M,0.4,0000*54
$GNGGA,072528.50,3600.77878,N,12919.13699,E,5,12,0.54,63.3,M,24.3,M,0.5,0000*57
$GNGGA,072528.60,3600.77874,N,12919.13697,E,5,12,0.54,63.3,M,24.3,M,0.6,0000*55
$GNGGA,072528.70,3600.77870,N,12919.13695,E,5,12,0.54,63.3,M,24.3,M,0.7,0000*53
$GNGGA,072528.80,3600.77866,N,12919.13691,E,5,12,0.54,63.3,M,24.3,M,0.8,0000*50
$GNGGA,072528.90,3600.77861,N,12919.13687,E,5,12,0.54,63.3,M,24.3,M,0.9,0000*50
$GNGGA,072529.00,3600.77858,N,12919.13684,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*59
$GNGGA,072529.10,3600.77854,N,12919.13681,E,5,12,0.54,63.4,M,24.3,M,1.1,0000*57
$GNGGA,072529.20,3600.77851,N,12919.13678,E,5,12,0.54,63.4,M,24.3,M,1.2,0000*54
$GNGGA,072529.30,3600.77848,N,12919.13677,E,5,12,0.54,63.4,M,24.3,M,0.3,0000*52
$GNGGA,072529.40,3600.77846,N,12919.13676,E,5,12,0.54,63.4,M,24.3,M,0.4,0000*5D
$GNGGA,072529.50,3600.77844,N,12919.13676,E,5,12,0.54,63.4,M,24.3,M,0.5,0000*5F
$GNGGA,072529.60,3600.77843,N,12919.13676,E,5,12,0.54,63.4,M,24.3,M,0.6,0000*58
$GNGGA,072529.70,3600.77842,N,12919.13675,E,5,12,0.54,63.4,M,24.3,M,0.7,0000*5A
$GNGGA,072529.80,3600.77842,N,12919.13675,E,5,12,0.54,63.4,M,24.3,M,0.8,0000*5A
$GNGGA,072529.90,3600.77842,N,12919.13674,E,5,12,0.54,63.4,M,24.3,M,0.9,0000*5B
$GNGGA,072530.00,3600.77843,N,12919.13673,E,5,12,0.54,63.4,M,24.3,M,1.0,0000*54
$GNGGA,072530.10,3600.77844,N,12919.13672,E,5,12,0.54,63.4,M,24.3,M,1.1,0000*52
$GNGGA,072530.20,3600.77845,N,12919.13671,E,5,12,0.54,63.4,M,24.3,M,0.2,0000*51
$GNGGA,072530.30,3600.77846,N,12919.13671,E,5,12,0.54,63.4,M,24.3,M,0.3,0000*52
$GNGGA,072530.40,3600.77848,N,12919.13670,E,5,12,0.54,63.4,M,24.3,M,0.4,0000*5D
$GNGGA,072530.50,3600.77850,N,12919.13668,E,5,12,0.54,63.4,M,24.3,M,0.5,0000*5D
$GNGGA,072530.60,3600.77852,N,12919.13666,E,5,12,0.54,63.4,M,24.3,M,0.6,0000*51
$GNGGA,072530.70,3600.77853,N,12919.13663,E,5,12,0.54,63.4,M,24.3,M,0.7,0000*55
$GNGGA,072530.80,3600.77853,N,12919.13659,E,5,12,0.54,63.4,M,24.3,M,0.8,0000*5C
$GNGGA,072530.90,3600.77853,N,12919.13654,E,5,12,0.54,63.4,M,24.3,M,0.9,0000*51
$GNGGA,072531.00,3600.77852,N,12919.13647,E,5,12,0.54,63.3,M,24.3,M,1.0,0000*55
$GNGGA,072531.10,3600.77852,N,12919.13640,E,5,12,0.54,63.4,M,24.3,M,1.1,0000*55
$GNGGA,072531.20,3600.77852,N,12919.13634,E,5,12,0.54,63.4,M,24.3,M,0.2,0000*57
$GNGGA,072531.30,3600.77853,N,12919.13627,E,5,12,0.54,63.4,M,24.3,M,0.3,0000*54
$GNGGA,072531.40,3600.77855,N,12919.13620,E,5,12,0.54,63.4,M,24.3,M,0.4,0000*55
$GNGGA,072531.50,3600.77856,N,12919.13613,E,5,12,0.54,63.4,M,24.3,M,0.5,0000*56
$GNGGA,072531.60,3600.77857,N,12919.13605,E,5,12,0.54,63.4,M,24.3,M,0.6,0000*50
$GNGGA,072531.70,3600.77859,N,12919.13596,E,5,12,0.54,63.4,M,24.3,M,0.7,0000*57
$GNGGA,072531.80,3600.77861,N,12919.13587,E,5,12,0.54,63.4,M,24.3,M,0.8,0000*5C
$GNGGA,072531.90,3600.77862,N,12919.13578,E,5,12,0.54,63.4,M,24.3,M,0.9,0000*5F
$GNGGA,072532.00,3600.77861,N,12919.13569,E,5,12,0.54,63.4,M,24.3,M,1.0,0000*5E
$GNGGA,072532.10,3600.77862,N,12919.13561,E,5,12,0.54,63.4,M,24.3,M,1.1,0000*55
$GNGGA,072532.20,3600.77862,N,12919.13553,E,5,12,0.54,63.4,M,24.3,M,0.2,0000*55
$GNGGA,072532.30,3600.77862,N,12919.13545,E,5,12,0.54,63.4,M,24.3,M,0.3,0000*52
$GNGGA,072532.40,3600.77862,N,12919.13537,E,5,12,0.54,63.4,M,24.3,M,0.4,0000*57
$GNGGA,072532.50,3600.77863,N,12919.13530,E,5,12,0.54,63.4,M,24.3,M,0.5,0000*51
$GNGGA,072532.60,3600.77865,N,12919.13522,E,5,12,0.54,63.4,M,24.3,M,0.6,0000*54
$GNGGA,072532.70,3600.77866,N,12919.13514,E,5,12,0.54,63.4,M,24.3,M,0.7,0000*52
$GNGGA,072532.80,3600.77867,N,12919.13505,E,5,12,0.54,63.4,M,24.3,M,0.8,0000*53
$GNGGA,072532.90,3600.77868,N,12919.13496,E,5,12,0.54,63.4,M,24.3,M,0.9,0000*57
$GNGGA,072533.00,3600.77868,N,12919.13487,E,5,12,0.54,63.4,M,24.3,M,1.0,0000*57
$GNGGA,072533.10,3600.77868,N,12919.13479,E,5,12,0.54,63.4,M,24.3,M,0.1,0000*57
